Symbol,Sector,Mktcap,EMA_21,EMA_50,ADX,RSI
SNOWMAN,Transport - Cold chain,SmallCap,59.73,57.98,28.74,51.22
MBAPL,Agrochem - Fertilizers,SmallCap,399.5,363.76,48.2,62.67
BEML,Defense - Mfg,SmallCap,4442.36,4142.32,29.22,51.93
KFINTECH,IT - Platform - Exchange/RTA,SmallCap,1275.99,1216.28,22.41,51.95
WHEELS,Auto - Wheels ,SmallCap,784.83,753.36,41.91,56.78
EMCURE,Healthcare - Formulations,SmallCap,1285.59,1247.38,25.17,53.91
NRBBEARING,Industrial Products - Bearings,SmallCap,284.04,270.63,24.37,57.37
JTLIND,Metals - Pipe & Tube,SmallCap,78.44,76.12,23.66,69.62
CIGNITITEC,IT - Services,SmallCap,1752.19,1656.36,44.92,56.34
KINGFA,Industrial Products - Plastic,SmallCap,3376.88,3267.58,28.92,57.99
AMBUJACEM,Infra - Cement,LargeCap,575.05,561.86,24.82,62.1
KMEW,Engineering - Dredging,SmallCap,1625.4,1600.91,20.9,52.25
KIRLOSIND,Power - Green - Misc,SmallCap,4009.02,3789.01,36.29,60.42
ERIS,Healthcare - Formulations,SmallCap,1688.55,1618.95,28.88,54.44
ULTRACEMCO,Infra - Cement,LargeCap,12093.52,11799.25,34.28,67.83
HERITGFOOD,Consumption - Dairy,SmallCap,476.89,453.95,37.94,52.98
HIRECT,Electronics - Automation,SmallCap,1302.82,1226.33,37.57,57.06
ZYDUSLIFE,Healthcare - Formulations,LargeCap,976.0,952.68,24.21,55.12
RISHABH,Electronics - Automation,SmallCap,288.91,283.1,28.06,55.42
GVT&D,Power - Equipment,MidCap,2333.54,2167.65,38.12,53.6
SBCL,Electronics - Components,SmallCap,528.61,505.25,23.52,54.85
KAYNES,Electronics - EMS,SmallCap,5981.4,5823.81,21.0,52.09
GOODLUCK,Metals - Pipe & Tube,SmallCap,1097.73,1005.04,54.94,55.59
RPOWER,Power - Generation,SmallCap,64.72,59.07,25.3,53.39
SCHAEFFLER,Auto - Drivetrain,MidCap,4056.7,3940.35,21.02,57.37
KKCL,Textiles - Fashion Retail,SmallCap,532.77,505.07,25.4,64.43
IRMENERGY,Utility - Gas Distribution,SmallCap,304.23,297.89,34.01,52.23
MANGCHEFER,Agrochem - Fertilizers,SmallCap,269.85,256.05,23.99,52.52
QUICKHEAL,IT - Product - Software,SmallCap,371.78,350.41,47.12,56.86
JKTYRE,Auto - Tyres,SmallCap,364.03,354.72,21.41,50.26
MSUMI,Auto - Electricals & Electronics,MidCap,61.37,59.53,22.77,63.99
SWIGGY,IT - Platform - Ecommerce,LargeCap,379.3,367.51,30.15,57.03
KIRLOSBROS,Industrial - Pumps/Engines,SmallCap,2127.03,1984.66,36.16,57.24
DLINKINDIA,IT - Hardware,SmallCap,551.21,522.51,42.52,51.03
IOLCP,Healthcare - API/Drug,SmallCap,91.48,86.08,27.2,51.89
KELLTONTEC,IT - Software/Consulting,SmallCap,131.25,126.15,34.94,58.34
GALAXYSURF,Chemicals - Specialty - FMCG,SmallCap,2526.92,2432.08,30.57,54.95
KITEX,Textiles - Exports,SmallCap,279.5,268.46,22.7,55.25
NDRAUTO,Auto - Drivetrain,SmallCap,1046.57,962.63,27.23,55.88
IMPAL,Auto - Misc,SmallCap,1123.28,1087.51,34.28,61.21
NAVA,Power - Misc,SmallCap,579.24,541.68,40.52,58.05
REDINGTON,IT - Hardware,SmallCap,301.97,286.27,31.94,50.72
SANOFICONR,Healthcare - Formulations - OTC,SmallCap,5198.53,5113.6,32.19,50.13
PGHL,Healthcare - Naturals/OTC/Consumers,SmallCap,5773.56,5651.18,24.84,50.22
IMFA,Metals - Ferro Alloys,SmallCap,749.72,713.48,32.86,53.11
GILLETTE,Consumption - Personal,SmallCap,10445.93,9847.34,39.57,61.93
COSMOFIRST,Packaging - Flex,SmallCap,1153.05,1045.01,32.09,51.4
ALEMBICLTD,Healthcare - API/Drug,SmallCap,116.64,113.12,26.05,53.53
BLUEDART,Transport - Logistics,SmallCap,6575.01,6531.83,22.07,54.03
TTKHLTCARE,Healthcare - Naturals/OTC/Consumers,SmallCap,1300.08,1272.27,48.04,54.97
NSIL,Financials - Holding/Investing,SmallCap,7061.24,6927.39,24.81,58.54
GRAPHITE,Metals - Foundry Support,SmallCap,556.11,536.54,40.06,55.42
