Symbol,Sector,Mktcap,02-Sep,03-Sep,04-Sep,05-Sep,08-Sep,09-Sep,10-Sep,11-Sep,12-Sep,15-Sep,CMF_52D_High
ICEMAKE,Transport - Cold chain,SmallCap,0.01,0.0,0.01,0.05,-0.33,-0.23,-0.15,-0.08,0.04,0.04,0.23
IDEAFORGE,Defense - Technology & Electronics,SmallCap,0.06,0.08,0.06,0.08,0.07,0.07,0.03,0.02,0.05,0.04,0.09
IDFCFIRSTB,Financials - Private Bank,MidCap,-0.08,-0.08,0.03,0.03,-0.02,0.08,0.04,0.05,0.02,0.03,0.35
IFBIND,Consumption - Appliances,SmallCap,0.56,0.55,0.48,0.48,0.47,0.48,0.48,0.45,0.44,0.44,0.67
IFGLEXPOR,Metals - Foundry Support,SmallCap,0.42,0.42,0.41,0.41,0.4,0.4,0.4,0.41,0.4,0.39,0.71
IGIL,Others,SmallCap,-0.16,-0.18,-0.17,-0.15,-0.12,-0.07,0.17,0.16,0.16,0.17,0.26
IGL,Utility - Gas Distribution,MidCap,0.19,0.15,0.11,0.11,0.06,0.05,0.05,0.06,0.04,0.07,0.3
IGPL,Chemicals - Petro,SmallCap,-0.16,-0.14,-0.12,-0.11,-0.11,-0.13,-0.09,0.03,-0.0,0.07,0.25
IMFA,Metals - Ferro Alloys,SmallCap,0.38,0.38,0.32,0.39,0.42,0.37,0.35,0.35,0.21,0.2,0.42
INDIACEM,Infra - Cement,SmallCap,0.05,0.1,0.07,0.06,0.07,0.06,0.07,0.06,0.05,0.06,0.47
INDIAMART,IT - Platform - Catalogue Retail,SmallCap,-0.04,-0.02,0.03,0.02,-0.0,0.0,0.02,0.07,0.06,0.11,0.36
INDIANHUME,Industial Products - Water/Waster Management,SmallCap,-0.07,0.0,0.02,-0.03,-0.06,-0.04,-0.01,0.05,-0.04,0.01,0.05
INDIGOPNTS,Consumption - Paints,SmallCap,-0.17,-0.17,-0.18,-0.2,-0.15,-0.12,0.07,0.08,0.09,0.07,0.23
INDNIPPON,Auto - Electricals & Batteries,SmallCap,-0.15,-0.12,-0.09,0.06,0.02,0.07,0.04,0.09,-0.02,0.11,0.16
INDOTHAI,Financials - Broking,SmallCap,-0.15,0.25,0.28,0.28,0.56,0.62,0.81,0.85,0.84,0.82,0.85
INDRAMEDCO,Healthcare - Hospitals,SmallCap,-0.24,-0.17,-0.16,-0.2,-0.03,0.0,0.15,0.01,-0.02,0.01,0.19
INDUSTOWER,Telecom - Infra,MidCap,-0.2,-0.01,-0.03,0.03,0.08,0.13,0.07,0.08,0.13,0.12,0.16
