Symbol,Sector,Mktcap,02-Sep,03-Sep,04-Sep,05-Sep,08-Sep,09-Sep,10-Sep,11-Sep,12-Sep,15-Sep,BreakoutCount
GREAVESCOT,Industrial - Pumps/Engines,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
GREENLAM,Infra - Laminates,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,2
GREENPANEL,Infra - Laminates,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
GREENPLY,Infra - Laminates,SmallCap,Other,Other,Breakdown,Other,Breakdown,Other,Other,Breakout,Other,Other,1
GRSE,Defense - Ship,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
GRWRHITECH,Industrial Products - Plastic,SmallCap,Other,Other,Other,Other,Breakout,Other,Breakout,Other,Other,Other,2
GSPL,Utility - Gas Transmission,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
GUJALKALI,Chemicals - Bulk,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,2
GULFOILLUB,Petro - Lubricants,SmallCap,Breakout,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,2
HAL,Defense - Mfg,LargeCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Breakout,3
HARIOMPIPE,Metals - Pipe & Tube,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
HATSUN,Consumption - Dairy,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
HCG,Healthcare - Hospitals,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
HEG,Metals - Foundry Support,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Other,2
HEIDELBERG,Infra - Cement,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,2
HEMIPROP,Real Estate,SmallCap,Breakout,Breakout,Other,Breakout,Other,Other,Other,Other,Other,Other,3
HERITGFOOD,Consumption - Dairy,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
HEUBACHIND,Chemicals - Dyes,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
HGINFRA,Infra - Road & Highways,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
HINDALCO,Metals - Aluminium,LargeCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
HINDCOPPER,Metals - Copper,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Breakout,Breakout,Breakout,4
HINDOILEXP,Oil and Gas - Upstream,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
HINDZINC,Metals - Non Ferrous,MidCap,Other,Breakout,Other,Other,Other,Other,Other,Breakout,Breakout,Other,3
HITECH,Metals - Pipe & Tube,SmallCap,Other,Breakout,Breakout,Other,Other,Other,Other,Breakout,Breakout,Breakout,5
HITECHGEAR,Auto - Drivetrain,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Breakout,2
HNDFDS,Consumption - FMCG Conglomerates ,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Breakout,2
HPL,Power - Wiring,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
HUDCO,Financials - Institute - Infra,MidCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,2
HUHTAMAKI,Packaging - Misc,SmallCap,Breakout,Other,Breakout,Breakout,Other,Other,Other,Other,Other,Other,3
ICEMAKE,Transport - Cold chain,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Breakout,Other,3
