Symbol,Sector,Mktcap,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,BreakoutCount
SALZERELEC,Power - Equipment,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
SANGAMIND,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
SARDAEN,Metals - Iron & Steel,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Breakout,Other,2
SDBL,Beverages - Alcohol,SmallCap,Other,Other,Other,Other,Breakout,Breakout,Breakout,Other,Other,Other,3
SHAILY,Industrial Products - Plastic,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,2
SHALBY,Healthcare - Hospitals,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
SHANKARA,Infra - Retail,SmallCap,Other,Other,Other,Other,Other,Breakout,Breakout,Breakout,Other,Other,3
SHARDACROP,Agrochem - Pesticides,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
SHILPAMED,Healthcare - CRAMS/CDMO,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
SHREDIGCEM,Infra - Cement,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
SHREECEM,Infra - Cement,LargeCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
SHREEPUSHK,Chemicals - Dyes,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Breakout,3
SHRIPISTON,Auto - Drivetrain,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
SHYAMMETL,Metals - Iron & Steel,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
SIRCA,Consumption - Paints,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Breakout,Other,3
SIYSIL,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
SKYGOLD,Consumption - Jewelry,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Breakdown,Other,1
SMLISUZU,Auto - CV,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,2
SMSPHARMA,Healthcare - API/Drug,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
SOLARINDS,Defense - Explosives,MidCap,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,Other,2
SPIC,Agrochem - Fertilizers,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,2
SPMLINFRA,Infra - Water Infra,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
SRF,Chemicals - Specialty - Diversified,MidCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
SSWL,Auto - Wheels ,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
STARCEMENT,Infra - Cement,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
SUBROS,Auto - HVAC/Emotors,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
SUDARSCHEM,Chemicals - Dyes,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
SUMICHEM,Agrochem - Pesticides,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
SUNDARMHLD,Financials - Insurance & Lending,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
SUNFLAG,Metals - Iron & Steel,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
SUVEN,Healthcare - CRAMS/CDMO,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
SWARAJENG,Industrial - Pumps/Engines,SmallCap,Other,Other,Other,Other,Breakout,Other,Other,Breakout,Other,Other,2
SYRMA,Electronics - EMS,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
TAJGVK,Leisure - Hotels,SmallCap,Other,Other,Breakout,Breakout,Other,Other,Other,Other,Other,Other,2
TATVA,Chemicals - Specialty - Pharma,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
TCPLPACK,Packaging - Rigid,SmallCap,Other,Other,Breakout,Breakout,Other,Other,Other,Other,Other,Other,2
TDPOWERSYS,Power - Equipment,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
TEGA,Industial Products - Material Handling/Mining,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
TFCILTD,Financials - Institute - Infra,SmallCap,Other,Other,Other,Other,Breakout,Breakout,Other,Breakout,Other,Other,3
THYROCARE,Healthcare - Diagnostics,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
