Symbol,Sector,Mktcap,EMA_21,EMA_50,ADX,RSI
BALRAMCHIN,Agri - Sugar,SmallCap,513.87,434.71,30.89,52.45
BANARISUG,Agri - Sugar,SmallCap,3453.94,2946.51,29.26,58.88
BANCOINDIA,Auto - Drivetrain,SmallCap,441.73,310.52,53.04,69.35
BANKBARODA,Financials - PSU Bank,LargeCap,232.12,199.41,41.23,54.66
BANKINDIA,Financials - PSU Bank,MidCap,110.72,100.54,28.36,54.65
BANSALWIRE,Metals - Pipe & Tube,SmallCap,319.22,230.67,42.25,58.66
BASF,Chemicals - Specialty - Diversified,SmallCap,4695.2,3877.48,37.6,51.11
BBL,Power - Equipment,SmallCap,3119.48,2459.03,38.63,51.79
BBOX,IT - Services,SmallCap,420.74,315.4,35.53,56.39
BBTC,Consumption - FMCG Conglomerates ,SmallCap,1876.46,1603.92,27.76,53.59
BDL,Defense - Mfg,MidCap,1308.46,977.64,41.15,59.01
BEL,Defense - Technology & Electronics,LargeCap,301.32,215.88,60.76,69.96
BEML,Defense - Mfg,SmallCap,3594.15,2833.29,34.84,59.43
BFUTILITIE,Infra - Road & Highways,SmallCap,753.27,630.24,35.56,54.11
BHARATFORG,Auto - Forgings,MidCap,1213.17,1059.69,21.15,52.07
BHARTIHEXA,Telecom - Mobile/FixedLine,MidCap,1576.21,1375.45,32.67,55.55
BHEL,Power - Equipment,MidCap,221.71,174.62,26.21,53.61
BIKAJI,Consumption - Foods/Drinks,SmallCap,689.46,536.17,35.71,62.64
BIRLAMONEY,Financials - Broking,SmallCap,156.46,121.21,55.42,56.27
BLISSGVS,Healthcare - Formulations,SmallCap,134.23,123.79,25.1,56.29
BLKASHYAP,Infra - Construction,SmallCap,67.98,55.49,36.22,51.38
BLS,IT - E-Governance,SmallCap,355.43,271.64,41.73,53.22
BLUESTARCO,Consumption - Appliances,MidCap,1636.51,1241.09,64.4,60.07
BOMDYEING,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,165.13,144.92,21.64,56.64
BOROLTD,Consumption - Homeware,SmallCap,337.78,283.85,29.38,53.38
BORORENEW,Power - Green Equipment,SmallCap,521.73,471.81,25.46,55.16
BOSCHLTD,Auto - Electricals & Electronics,LargeCap,31715.12,26189.11,37.03,68.21
BPCL,Refineries & Marketing,LargeCap,290.18,251.16,27.58,58.22
BRITANNIA,Consumption - Foods/Drinks,LargeCap,5354.29,4751.59,29.66,63.29
BSE,IT - Platform - Exchange/RTA,MidCap,1661.71,1131.91,50.23,66.59
CAMLINFINE,Chemicals - Specialty - FMCG,SmallCap,174.67,153.44,26.64,58.35
CAMS,IT - Platform - Exchange/RTA,SmallCap,3702.7,3055.0,31.76,53.75
CANBK,Financials - PSU Bank,LargeCap,99.72,83.26,29.49,60.26
CANTABIL,Textiles - Fashion Retail,SmallCap,244.85,209.86,26.87,52.66
CAPLIPOINT,Healthcare - CRAMS/CDMO,SmallCap,1841.35,1403.07,41.84,65.46
CARERATING,Financials - Ratings,SmallCap,1310.17,1060.77,44.99,63.56
CASTROLIND,Petro - Lubricants,SmallCap,198.75,176.95,28.34,51.85
CCL,Agri - Tea/Coffee,SmallCap,718.02,601.99,41.9,66.26
CDSL,IT - Platform - Exchange/RTA,SmallCap,1308.03,1004.82,44.71,59.17
CEATLTD,Auto - Tyres,SmallCap,2945.29,2382.8,45.9,58.33
CENTUM,Electronics - EMS,SmallCap,1913.76,1436.95,48.41,64.2
CESC,Power - Integrated Utility,SmallCap,151.87,125.4,24.02,56.83
CEWATER,Waste Management,SmallCap,405.18,271.36,31.48,60.14
CGCL,Financials - NBFC,SmallCap,184.28,166.74,33.45,52.51
CGPOWER,Power - Equipment,LargeCap,628.3,474.07,47.52,68.59
CHAMBLFERT,Agrochem - Fertilizers,SmallCap,499.77,410.49,41.91,56.4
CHENNPETRO,Refineries & Marketing,SmallCap,663.65,540.1,36.83,57.44
CHOLAFIN,Financials - NBFC,LargeCap,1358.93,1095.69,37.0,59.88
CHOLAHLDNG,Financials - Insurance & Lending,SmallCap,1592.95,1243.78,45.51,60.48
CIGNITITEC,IT - Services,SmallCap,1420.96,1101.76,40.05,61.66
CIPLA,Healthcare - Formulations,LargeCap,1459.26,1263.62,20.19,59.3
COALINDIA,Mining - Coal/Minerals,LargeCap,387.14,329.75,29.08,53.98
COCHINSHIP,Defense - Ship,MidCap,1501.86,1057.62,44.59,58.74
COFORGE,IT - Enterprise,MidCap,1505.97,1194.24,28.51,60.01
COHANCE,Healthcare - CRAMS/CDMO,SmallCap,955.45,828.88,30.23,53.44
CONCORDBIO,Healthcare - API/Drug,SmallCap,1623.44,1289.04,41.72,53.24
CONTROLPR,IT - Hardware,SmallCap,736.4,642.88,28.63,53.95
COROMANDEL,Agrochem - Fertilizers,MidCap,1876.87,1439.77,54.94,63.03
COSMOFIRST,Packaging - Flex,SmallCap,831.06,729.8,29.91,54.3
CRAFTSMAN,Auto - Electricals & Electronics,SmallCap,5317.78,4223.47,32.47,63.05
CREST,Financials - NBFC,SmallCap,376.1,306.19,41.32,51.82
CRISIL,Financials - Ratings,MidCap,4831.53,4102.0,39.55,53.03
CSBBANK,Financials - Private Bank,SmallCap,342.52,319.26,22.56,56.49
DALBHARAT,Infra - Cement,MidCap,2027.12,1829.24,24.07,66.63
DATAMATICS,IT - Services,SmallCap,678.65,526.4,26.6,66.89
DATAPATTNS,Defense - Technology & Electronics,SmallCap,2373.71,1909.29,28.97,56.41
DBCORP,Media - Publishing,SmallCap,263.92,229.22,29.62,55.12
DBL,Infra - Road & Highways,SmallCap,457.36,419.28,20.87,61.36
DBREALTY,Real Estate,SmallCap,172.83,139.72,21.46,50.27
DCAL,Healthcare - CRAMS/CDMO,SmallCap,221.81,194.92,21.04,59.31
DCMSHRIRAM,Agri - Sugar,SmallCap,1106.66,968.45,40.07,55.89
DCW,Chemicals - Petro,SmallCap,73.33,60.56,39.99,52.95
DEEPAKFERT,Chemicals - Diversified,SmallCap,1151.77,862.7,42.04,61.0
DHANUKA,Agrochem - Pesticides,SmallCap,1435.55,1165.81,29.78,55.96
DIAMONDYD,Consumption - Foods/Drinks,SmallCap,1005.51,923.97,21.35,53.51
DIVISLAB,Healthcare - API/Drug,LargeCap,5512.97,4589.84,31.63,61.15
DIXON,Consumption - Electronics,MidCap,13332.62,9498.82,55.19,69.83
DLF,Real Estate,LargeCap,740.3,613.65,26.77,55.02
DLINKINDIA,IT - Hardware,SmallCap,451.09,353.07,35.11,55.17
DOMS,Consumption - Stationary,SmallCap,2209.54,1562.8,45.18,63.51
DPABHUSHAN,Consumption - Jewelry,SmallCap,1319.87,968.94,59.79,62.7
