Symbol,Sector,Mktcap,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,RS_12M_High
PTCIL,Industrial Products - Precision Components,SmallCap,206.15,164.77,119.84,193.44,152.34,166.2,106.6,108.07,97.39,105.38,206.15
RACLGEAR,Auto - Drivetrain,SmallCap,144.53,130.78,166.89,238.23,266.91,328.87,305.66,258.48,293.55,318.61,328.87
RADICO,Beverages - Alcohol,SmallCap,144.43,120.99,131.21,133.46,129.83,146.25,137.85,159.83,151.75,150.03,159.83
RAINBOW,Healthcare - Hospitals,SmallCap,115.52,108.06,90.75,102.55,93.33,98.16,117.97,129.64,122.43,107.13,129.64
RAMCOCEM,Infra - Cement,SmallCap,86.98,83.28,98.62,105.03,110.31,119.76,120.95,143.56,130.1,124.22,143.56
RAMCOIND,Infra - Cement,SmallCap,114.66,93.87,103.75,107.05,93.97,101.77,104.45,119.8,129.37,153.94,153.94
RAMCOSYS,IT - Product - Software,SmallCap,133.49,101.67,91.44,118.65,98.07,122.74,117.73,102.61,106.88,123.34,133.49
RAMRAT,Power - Wiring,SmallCap,176.49,163.64,168.63,199.63,138.15,171.95,166.12,184.86,124.1,112.11,199.63
RBLBANK,Financials - Private Bank,SmallCap,51.99,58.44,60.47,68.55,71.51,78.94,88.91,114.29,118.57,136.76,136.76
REDINGTON,IT - Hardware,SmallCap,104.0,105.97,107.8,110.64,104.41,118.83,142.91,118.71,123.27,134.6,142.91
RELTD,Power - Green - Misc,SmallCap,48.26,52.36,37.43,33.74,33.98,60.42,53.02,168.52,208.6,124.12,208.6
RISHABH,Electronics - Automation,SmallCap,53.12,45.3,42.02,46.23,49.88,63.86,61.76,67.01,115.59,113.81,115.59
ROHLTD,Leisure - Hotels,SmallCap,103.34,87.86,88.06,102.56,88.01,98.83,101.13,119.27,147.94,141.41,147.94
RPEL,Metals - Foundry Support,SmallCap,68.18,64.27,57.7,58.3,63.8,79.87,78.82,74.42,96.43,131.02,131.02
SABTNL,Media - TV Broadcast,SmallCap,426.67,124.44,165.28,186.87,501.7,310.68,374.05,264.68,198.76,119.62,501.7
SAGCEM,Infra - Cement,SmallCap,80.47,71.39,74.84,81.97,88.78,99.49,89.8,98.98,113.89,119.65,119.65
