Symbol,Sector,Mktcap,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,CMF_12M_High
CENTUM,Electronics - EMS,SmallCap,0.26,0.1,-0.08,0.09,0.1,0.32,0.3,0.32,0.45,0.31,0.45
CENTURYPLY,Infra - Laminates,SmallCap,0.06,0.08,-0.23,-0.37,-0.34,-0.32,-0.28,-0.42,0.01,0.12,0.26
CERA,Infra - Ceramics/Granites,SmallCap,-0.37,-0.35,-0.37,-0.08,-0.07,0.08,0.11,0.01,0.09,0.04,0.11
CEWATER,Waste Management,SmallCap,-0.38,-0.35,-0.66,-0.59,-0.04,-0.42,-0.2,-0.21,0.04,0.02,0.04
CGCL,Financials - NBFC,SmallCap,-0.12,-0.21,-0.15,-0.41,-0.44,-0.51,-0.18,-0.04,-0.03,0.17,0.17
CGPOWER,Power - Equipment,LargeCap,-0.26,-0.29,-0.29,-0.23,0.03,0.11,0.21,0.17,0.37,0.44,0.44
CHALET,Leisure - Hotels,SmallCap,0.14,0.02,-0.01,0.02,-0.03,0.02,-0.01,0.19,0.34,0.37,0.37
CHOICEIN,Financials - Holding/Investing,SmallCap,0.57,0.48,0.21,0.23,0.19,0.31,0.24,0.36,0.52,0.51,0.63
CHOLAHLDNG,Financials - Insurance & Lending,SmallCap,-0.11,-0.01,0.14,0.02,0.27,0.28,0.55,0.37,0.13,0.16,0.55
CIGNITITEC,IT - Services,SmallCap,-0.05,-0.21,-0.32,-0.27,-0.1,-0.1,0.1,0.37,0.53,0.48,0.53
CIPLA,Healthcare - Formulations,LargeCap,0.32,0.33,0.09,0.03,0.15,-0.0,-0.16,-0.09,0.17,0.2,0.33
COFORGE,IT - Enterprise,MidCap,0.7,0.35,0.14,0.17,0.13,0.15,0.18,0.28,0.42,0.34,0.74
CONCOR,Transport - Logistics,MidCap,-0.12,-0.1,-0.11,-0.01,-0.01,0.27,0.29,0.08,0.1,0.09,0.29
CONTROLPR,IT - Hardware,SmallCap,0.06,-0.01,0.02,-0.1,-0.03,0.01,0.2,0.04,0.1,0.08,0.2
COROMANDEL,Agrochem - Fertilizers,MidCap,0.52,0.39,0.1,0.28,0.35,0.05,0.04,0.19,0.23,0.11,0.52
COSMOFIRST,Packaging - Flex,SmallCap,-0.11,-0.27,-0.15,-0.16,-0.17,0.15,0.16,0.23,0.25,0.23,0.25
CRAFTSMAN,Auto - Electricals & Electronics,SmallCap,0.06,-0.13,-0.1,-0.08,0.04,0.15,0.23,0.51,0.49,0.48,0.51
CRISIL,Financials - Ratings,MidCap,0.48,0.4,0.2,0.07,-0.23,-0.07,0.02,0.01,0.12,0.27,0.48
CROMPTON,Consumption - Appliances,SmallCap,0.18,-0.11,-0.5,-0.25,-0.06,-0.05,0.04,0.01,0.28,0.15,0.28
CSBBANK,Financials - Private Bank,SmallCap,-0.39,-0.16,-0.18,-0.03,0.15,0.22,0.37,0.48,0.22,0.23,0.48
CUB,Financials - Private Bank,SmallCap,0.4,0.34,0.17,0.31,0.04,0.04,0.3,0.21,0.31,0.34,0.57
CUMMINSIND,Industrial - Pumps/Engines,MidCap,0.02,-0.06,-0.31,-0.23,-0.16,0.07,0.28,0.41,0.67,0.65,0.67
CUPID,Consumption - Personal,SmallCap,-0.24,-0.46,-0.37,-0.46,0.1,0.35,0.44,0.64,0.75,0.84,0.84
DABUR,Consumption - Personal,LargeCap,-0.29,-0.26,-0.45,-0.28,-0.02,0.08,0.24,0.31,0.42,0.35,0.42
DALBHARAT,Infra - Cement,MidCap,0.17,0.41,0.14,0.15,0.31,0.21,0.43,0.21,0.43,0.37,0.43
DATAMATICS,IT - Services,SmallCap,0.22,0.09,-0.36,-0.15,-0.12,-0.15,-0.16,0.63,0.64,0.51,0.64
DATAPATTNS,Defense - Technology & Electronics,SmallCap,-0.17,-0.12,-0.34,0.17,0.33,0.34,0.26,0.24,0.31,0.25,0.34
DBCORP,Media - Publishing,SmallCap,-0.19,-0.2,-0.37,-0.3,-0.31,-0.15,0.06,0.04,0.38,0.38,0.38
DBL,Infra - Road & Highways,SmallCap,0.01,0.04,-0.14,0.11,0.1,0.13,0.14,0.08,0.05,0.17,0.29
DBREALTY,Real Estate,SmallCap,-0.18,-0.41,-0.41,-0.15,-0.02,0.02,0.28,0.2,0.27,0.12,0.28
DCAL,Healthcare - CRAMS/CDMO,SmallCap,0.35,0.19,0.04,0.18,0.1,-0.05,-0.09,0.02,0.16,0.12,0.54
DCBBANK,Financials - Private Bank,SmallCap,0.09,0.39,0.22,0.21,0.18,0.25,0.37,0.13,0.15,0.16,0.39
DCMSHRIRAM,Agri - Sugar,SmallCap,0.05,0.06,-0.1,-0.0,-0.02,0.23,0.27,0.4,0.38,0.38,0.4
DECCANCE,Infra - Cement,SmallCap,-0.0,-0.35,-0.03,-0.15,-0.11,-0.24,-0.0,0.27,0.11,0.18,0.27
