Symbol,Sector,Mktcap,14-Jul,21-Jul,28-Jul,04-Aug,11-Aug,18-Aug,25-Aug,01-Sep,08-Sep,15-Sep,RS_52W_High
IOLCP,Healthcare - API/Drug,SmallCap,111.83,113.79,117.95,113.4,117.74,106.19,106.29,104.45,115.04,126.38,126.38
IPL,Agrochem - Pesticides,SmallCap,101.01,98.32,100.58,107.78,98.48,105.49,97.65,95.3,99.58,105.38,107.78
ITDCEM,Infra - Construction,SmallCap,154.21,152.89,153.2,130.04,141.07,138.83,131.94,142.61,164.43,145.3,227.83
ITI,Telecom - Equipments,SmallCap,106.29,98.48,95.6,104.65,102.99,98.46,96.33,107.02,106.58,118.53,135.21
IXIGO,IT - Platform - Tour & Travel,SmallCap,124.92,124.13,131.35,144.05,172.34,166.36,169.51,187.38,199.97,206.01,206.01
JAGSNPHARM,Healthcare - Formulations,SmallCap,180.52,166.62,178.22,175.0,172.76,154.96,146.87,145.85,148.86,156.84,196.44
JASH,Industial Products - Water/Waster Management,SmallCap,149.32,119.04,113.45,109.63,112.32,123.01,128.72,125.82,126.5,118.76,191.49
JGCHEM,Chemicals - Specialty - Rubber,SmallCap,203.53,179.83,161.31,143.79,155.34,128.24,123.71,115.23,111.98,118.69,203.53
JINDALSTEL,Metals - Iron & Steel,LargeCap,99.37,102.85,99.44,106.34,103.99,103.7,100.69,108.97,101.44,106.64,123.04
JKCEMENT,Infra - Cement,MidCap,149.0,147.65,156.91,166.32,164.53,155.42,161.13,141.84,138.85,143.79,166.32
JKLAKSHMI,Infra - Cement,SmallCap,115.38,110.2,115.53,110.05,113.08,119.96,120.79,118.46,113.81,121.46,121.46
JLHL,Healthcare - Hospitals,SmallCap,110.96,110.43,107.25,104.37,104.64,106.4,108.91,106.77,107.56,110.71,140.19
JMFINANCIL,Financials - Diversified,SmallCap,176.96,164.21,147.96,159.71,204.02,210.05,172.02,149.1,140.45,147.13,210.05
JSWHL,Financials - Holding/Investing,SmallCap,316.61,296.18,280.24,275.85,268.0,254.51,248.46,253.48,242.75,240.72,365.51
JSWSTEEL,Metals - Iron & Steel,LargeCap,114.26,114.02,114.97,115.94,114.66,111.85,112.7,115.56,116.24,115.39,126.11
JUBLCPL,Chemicals - Specialty - FMCG,SmallCap,2153.2,2443.34,2579.11,2737.43,3304.67,3453.21,3617.18,3816.13,3686.09,4221.38,4221.38
KARURVYSYA,Financials - Private Bank,SmallCap,125.4,117.08,119.18,122.33,118.09,115.86,119.41,113.69,117.63,122.89,135.29
KAYNES,Electronics - EMS,SmallCap,147.38,133.95,147.26,135.93,119.91,122.6,133.07,146.2,135.77,133.87,266.94
KERNEX,Railways,SmallCap,207.56,185.57,171.78,140.32,132.49,110.98,130.18,126.75,130.05,136.81,319.37
KFINTECH,IT - Platform - Exchange/RTA,SmallCap,169.92,150.31,129.17,99.8,111.87,113.18,101.58,110.39,109.48,107.28,285.75
KIMS,Healthcare - Hospitals,SmallCap,176.37,176.91,179.03,159.19,160.5,148.81,147.74,140.42,138.7,142.02,179.03
KINGFA,Industrial Products - Plastic,SmallCap,132.44,129.04,110.97,117.4,131.04,133.59,128.9,128.17,137.89,136.38,165.35
KIOCL,Metals - Iron & Steel,SmallCap,64.38,74.37,83.32,82.54,80.38,103.13,102.48,113.8,116.22,123.36,123.36
KIRIINDUS,Chemicals - Dyes,SmallCap,169.89,160.36,161.64,166.04,152.01,149.5,141.88,136.37,153.67,170.9,195.22
KIRLOSBROS,Industrial - Pumps/Engines,SmallCap,95.29,88.37,83.67,95.48,94.69,101.7,111.09,121.64,122.6,121.97,215.57
KITEX,Textiles - Exports,SmallCap,378.49,337.97,286.45,213.09,158.09,154.89,150.33,118.74,116.17,123.4,403.02
KMEW,Engineering - Dredging,SmallCap,417.72,356.27,322.86,338.09,346.59,344.24,347.92,317.98,394.41,407.32,417.72
KOLTEPATIL,Real Estate,SmallCap,107.21,108.82,109.51,109.58,112.91,102.14,109.85,111.41,117.08,114.5,117.08
