Symbol,Sector,Mktcap,14-Jul,21-Jul,28-Jul,04-Aug,11-Aug,18-Aug,25-Aug,01-Sep,08-Sep,15-Sep,CMF_52D_High
FEDFINA,Financials - NBFC,SmallCap,0.37,0.27,0.25,0.19,0.21,0.2,0.17,0.22,0.24,0.26,0.37
FINPIPE,Infra - Plastic Products,SmallCap,-0.05,-0.09,-0.22,-0.3,-0.36,-0.38,-0.07,-0.14,-0.03,0.05,0.05
FLAIR,Consumption - Stationary,SmallCap,0.19,0.15,0.2,0.18,0.16,0.18,0.2,0.14,0.1,0.04,0.2
FLUOROCHEM,Chemicals - Specialty - Refrigeration,MidCap,-0.21,-0.23,-0.29,-0.27,-0.3,-0.33,-0.26,-0.39,0.03,0.11,0.11
FMGOETZE,Auto - Drivetrain,SmallCap,0.21,0.21,0.18,-0.04,-0.14,-0.13,-0.21,-0.17,0.01,0.04,0.22
FORTIS,Healthcare - Hospitals,MidCap,0.25,0.3,0.3,0.44,0.37,0.31,0.28,0.28,0.27,0.35,0.44
FOSECOIND,Chemicals - Specialty - Misc,SmallCap,0.18,-0.04,0.16,0.11,0.13,0.59,0.36,0.38,0.32,0.32,0.59
FSL,Tech - BPO,SmallCap,-0.11,-0.23,-0.3,-0.06,-0.05,-0.01,-0.01,-0.03,0.03,0.1,0.1
GALLANTT,Metals - Iron & Steel,SmallCap,0.11,0.14,0.28,0.21,0.17,0.12,0.01,0.07,0.04,0.01,0.28
GLAND,Healthcare - CRAMS/CDMO,MidCap,0.33,0.3,0.22,0.05,0.05,0.04,0.07,0.04,0.04,0.08,0.33
GLOBUSSPR,Beverages - Alcohol,SmallCap,-0.03,0.13,0.21,0.17,0.18,0.25,0.24,0.17,0.16,0.12,0.25
GMDCLTD,Mining - Coal/Minerals,SmallCap,0.35,0.07,0.01,-0.0,-0.05,-0.1,-0.1,0.09,0.34,0.32,0.35
GODFRYPHLP,Consumption - Cigarettes,SmallCap,-0.07,-0.15,-0.2,-0.19,-0.11,-0.07,-0.02,0.09,0.07,0.07,0.09
GODIGIT,Financials - Gen Insurance,SmallCap,0.39,0.37,0.41,0.33,0.25,0.27,0.12,0.05,0.14,0.1,0.41
GODREJIND,Chemicals - Diversified,MidCap,0.15,0.15,0.13,0.11,-0.13,0.04,-0.08,-0.02,0.1,0.17,0.17
GOKULAGRO,Agri - Edible Oils,SmallCap,-0.08,-0.13,-0.11,-0.11,-0.21,-0.18,-0.1,-0.14,-0.05,0.08,0.08
GOLDIAM,Consumption - Jewelry,SmallCap,-0.22,-0.32,-0.28,-0.08,-0.05,-0.03,0.07,0.21,0.1,0.13,0.21
GPIL,Metals - Iron & Steel,SmallCap,0.1,-0.05,-0.21,-0.22,-0.12,0.32,0.19,0.04,0.08,0.21,0.32
GPPL,Infra - Ports,SmallCap,-0.0,-0.1,-0.09,-0.13,-0.17,-0.03,-0.02,-0.19,0.04,0.02,0.04
GRANULES,Healthcare - API/Drug,SmallCap,0.13,-0.11,-0.27,-0.34,-0.32,-0.24,0.0,0.01,0.05,0.07,0.13
GREENPANEL,Infra - Laminates,SmallCap,0.02,0.23,0.03,0.14,0.1,0.12,0.14,0.11,0.29,0.29,0.29
GSFC,Agrochem - Fertilizers,SmallCap,-0.03,-0.17,-0.18,0.17,0.08,0.14,0.12,0.14,0.05,0.1,0.17
GVT&D,Power - Equipment,MidCap,0.12,0.02,0.07,-0.08,-0.05,-0.11,-0.06,-0.03,-0.02,0.03,0.25
HBLENGINE,Railways,SmallCap,0.29,0.12,0.19,0.07,0.43,0.48,0.5,0.52,0.53,0.58,0.58
HCG,Healthcare - Hospitals,SmallCap,0.06,0.1,0.17,0.37,0.39,0.39,0.38,0.35,0.18,0.19,0.39
HDFCAMC,Financials - AMC,MidCap,0.38,0.26,0.24,0.23,0.11,0.27,0.14,0.11,0.18,0.19,0.38
HEMIPROP,Real Estate,SmallCap,-0.15,-0.26,-0.3,-0.07,-0.2,-0.17,-0.15,0.42,0.32,0.34,0.42
HERITGFOOD,Consumption - Dairy,SmallCap,0.26,0.13,0.2,0.19,0.05,0.03,0.05,-0.1,-0.05,0.02,0.26
HGS,Tech - BPO,SmallCap,0.27,0.17,0.2,0.2,0.2,0.26,0.29,0.27,0.28,0.31,0.31
HINDALCO,Metals - Aluminium,LargeCap,0.12,0.07,0.05,0.13,0.11,0.12,0.04,0.01,0.06,0.1,0.14
HINDWAREAP,Infra - Ceramics/Granites,SmallCap,0.3,0.23,0.25,-0.08,0.25,0.12,0.11,0.17,0.19,0.21,0.3
HINDZINC,Metals - Non Ferrous,MidCap,-0.38,-0.41,-0.44,-0.45,-0.56,-0.59,-0.13,-0.26,-0.0,0.01,0.01
HIRECT,Electronics - Automation,SmallCap,-0.11,-0.13,0.35,0.27,0.28,0.18,0.15,0.19,0.21,0.28,0.35
HITECH,Metals - Pipe & Tube,SmallCap,-0.2,-0.24,-0.27,-0.15,-0.39,-0.31,-0.37,-0.42,-0.07,0.08,0.08
HLEGLAS,Industial Products - Glasslined Equipments,SmallCap,0.15,0.09,-0.22,-0.24,-0.36,0.3,0.28,0.28,0.25,0.27,0.3
IFBIND,Consumption - Appliances,SmallCap,0.03,-0.02,-0.02,-0.07,-0.22,0.07,0.09,0.07,0.05,0.07,0.09
IFGLEXPOR,Metals - Foundry Support,SmallCap,0.21,0.09,0.03,0.01,0.03,0.21,0.19,0.14,0.08,0.06,0.29
IMFA,Metals - Ferro Alloys,SmallCap,0.14,0.07,0.13,0.16,0.04,0.16,0.2,0.23,0.28,0.38,0.38
INDGN,IT - Platform - Healthcare/Pharma,SmallCap,-0.62,-0.64,-0.52,-0.52,-0.04,-0.08,-0.07,0.03,0.12,0.17,0.17
INDIANB,Financials - PSU Bank,MidCap,-0.13,-0.2,-0.17,-0.15,-0.13,-0.13,-0.03,-0.03,-0.01,0.02,0.02
INDNIPPON,Auto - Electricals & Batteries,SmallCap,0.2,0.08,0.08,0.02,0.02,-0.1,-0.02,0.12,0.15,0.09,0.23
INDOTHAI,Financials - Broking,SmallCap,0.33,0.12,0.19,0.06,0.06,-0.0,-0.11,0.02,0.5,0.48,0.5
INDUSTOWER,Telecom - Infra,MidCap,-0.0,-0.07,-0.06,-0.14,-0.25,-0.11,-0.27,-0.06,0.03,0.03,0.04
INOXGREEN,Power - Green - Misc,SmallCap,0.28,0.26,-0.1,-0.17,-0.05,-0.13,-0.08,-0.13,0.04,0.09,0.28
IOLCP,Healthcare - API/Drug,SmallCap,0.22,-0.01,-0.04,-0.14,-0.15,-0.1,-0.12,-0.24,0.25,0.26,0.26
ITCHOTELS,Leisure - Hotels,SmallCap,0.48,0.34,0.26,0.21,0.17,0.25,0.27,0.18,0.22,0.15,0.48
ITDC,Leisure - Hotels,SmallCap,-0.13,-0.23,-0.23,-0.27,-0.33,-0.23,-0.25,-0.29,0.22,0.23,0.23
IXIGO,IT - Platform - Tour & Travel,SmallCap,0.43,0.34,0.36,0.36,0.45,0.41,0.42,0.43,0.42,0.41,0.45
JAICORPLTD,Industrial Products - Plastic,SmallCap,-0.28,-0.4,-0.38,-0.43,-0.52,-0.0,-0.03,0.32,0.17,0.18,0.32
JAMNAAUTO,Auto - Suspension & Axles,SmallCap,-0.02,-0.11,-0.19,-0.24,-0.22,0.09,0.13,0.07,0.02,0.03,0.13
JBCHEPHARM,Healthcare - Formulations,SmallCap,-0.04,0.01,-0.08,-0.07,-0.06,-0.06,-0.1,-0.12,0.04,0.17,0.17
JBMA,Auto - Body,SmallCap,-0.05,-0.32,-0.5,-0.5,-0.47,-0.36,-0.35,-0.31,0.39,0.29,0.39
JMFINANCIL,Financials - Diversified,SmallCap,0.32,0.21,0.15,0.14,0.27,0.34,0.32,0.18,0.1,0.13,0.39
JUBLCPL,Chemicals - Specialty - FMCG,SmallCap,0.2,0.22,0.05,0.14,0.2,0.19,0.31,0.26,0.24,0.25,0.31
KAJARIACER,Infra - Ceramics/Granites,SmallCap,0.53,0.27,0.18,0.27,0.28,0.27,0.26,0.23,0.09,0.07,0.61
KAYNES,Electronics - EMS,SmallCap,-0.04,-0.04,0.19,0.09,0.16,0.18,0.03,0.12,0.18,0.26,0.26
KEI,Power - Wiring,MidCap,0.03,-0.07,-0.08,-0.11,-0.16,-0.13,-0.09,-0.12,-0.05,0.04,0.04
KELLTONTEC,IT - Software/Consulting,SmallCap,0.05,0.14,0.1,0.05,0.08,0.05,0.09,0.04,0.02,0.1,0.14
KINGFA,Industrial Products - Plastic,SmallCap,-0.15,-0.12,-0.25,-0.19,-0.07,0.12,0.09,0.02,0.07,0.15,0.15
KIOCL,Metals - Iron & Steel,SmallCap,0.11,0.03,0.3,-0.12,-0.15,0.04,0.0,0.06,0.05,0.05,0.3
KMEW,Engineering - Dredging,SmallCap,-0.03,-0.08,-0.11,-0.13,-0.14,-0.06,-0.09,0.03,0.26,0.29,0.29
KPIL,Infra - Heavy Engineering,SmallCap,-0.09,-0.24,-0.27,-0.01,-0.02,0.08,0.08,0.06,0.18,0.2,0.2
KRBL,Agri - Rice,SmallCap,0.32,0.25,0.0,0.43,0.4,0.4,0.4,0.36,0.29,0.3,0.43
KRISHANA,Agrochem - Fertilizers,SmallCap,0.17,0.25,0.16,0.22,0.15,0.18,0.13,0.12,0.16,0.14,0.25
LALPATHLAB,Healthcare - Diagnostics,SmallCap,0.15,0.21,0.24,0.32,0.33,0.27,0.22,0.21,0.17,0.15,0.33
LANDMARK,Auto - Misc,SmallCap,-0.03,-0.08,-0.07,-0.06,0.03,0.08,0.21,0.41,0.42,0.45,0.45
LEMONTREE,Leisure - Hotels,SmallCap,0.11,0.02,-0.02,0.02,-0.01,0.16,0.09,0.16,0.14,0.08,0.16
LUMAXIND,Auto - Lighting & Electronics,SmallCap,0.22,0.12,0.08,-0.12,-0.26,-0.1,0.19,0.1,0.09,0.13,0.25
LUPIN,Healthcare - Formulations,MidCap,-0.08,-0.07,-0.1,0.01,-0.04,0.03,0.01,0.05,0.05,0.19,0.19
MAHSCOOTER,Financials - Holding/Investing,SmallCap,0.21,0.07,-0.01,-0.04,-0.11,-0.23,-0.06,-0.09,0.01,0.04,0.21
MANALIPETC,Chemicals - Petro,SmallCap,0.14,0.04,0.01,0.01,-0.0,-0.03,0.03,0.14,0.07,0.11,0.14
MANAPPURAM,Financials - NBFC,SmallCap,0.44,0.44,0.39,0.38,0.36,0.12,0.11,0.08,0.08,0.15,0.44
MANGCHEFER,Agrochem - Fertilizers,SmallCap,0.01,0.11,0.15,0.09,0.15,0.18,0.19,0.16,0.08,0.06,0.19
MARATHON,Real Estate,SmallCap,0.3,0.25,0.23,0.21,0.18,0.2,0.18,0.08,-0.07,0.03,0.41
