Symbol,Sector,Mktcap,14-Jul,21-Jul,28-Jul,04-Aug,11-Aug,18-Aug,25-Aug,01-Sep,08-Sep,15-Sep,BreakoutCount
FLAIR,Consumption - Stationary,SmallCap,Breakout,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,2
FLUOROCHEM,Chemicals - Specialty - Refrigeration,MidCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
FORCEMOT,Auto - Cars/UVs,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
FORTIS,Healthcare - Hospitals,MidCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
FOSECOIND,Chemicals - Specialty - Misc,SmallCap,Other,Other,Breakout,Other,Other,Breakout,Other,Other,Other,Other,2
GALLANTT,Metals - Iron & Steel,SmallCap,Other,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,2
GARUDA,Infra - Residential & Commercial Buildings,SmallCap,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,2
GATEWAY,Transport - Logistics,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
GEPIL,Power - Equipment,SmallCap,Other,Other,Other,Other,Breakout,Breakout,Other,Other,Other,Other,2
GLAND,Healthcare - CRAMS/CDMO,MidCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
GLENMARK,Healthcare - Formulations - Generic,MidCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
GLOBUSSPR,Beverages - Alcohol,SmallCap,Breakout,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,3
GMDCLTD,Mining - Coal/Minerals,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,3
GMMPFAUDLR,Industial Products - Glasslined Equipments,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
GMRP&UI,Infra - Heavy Engineering,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
GOCLCORP,Defense - Explosives,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
GODFRYPHLP,Consumption - Cigarettes,SmallCap,Breakout,Other,Other,Breakout,Other,Breakout,Breakout,Breakout,Other,Other,5
GODIGIT,Financials - Gen Insurance,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
GODREJAGRO,Agri - Animal Feed,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
GOKULAGRO,Agri - Edible Oils,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
GOLDIAM,Consumption - Jewelry,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,2
GOPAL,Consumption - Foods/Drinks,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
GPIL,Metals - Iron & Steel,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Other,Breakout,3
GRANULES,Healthcare - API/Drug,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
GREAVESCOT,Industrial - Pumps/Engines,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Breakout,Other,Other,2
GREENLAM,Infra - Laminates,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
GREENPANEL,Infra - Laminates,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
GSFC,Agrochem - Fertilizers,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
GUJTHEM,Healthcare - API/Drug,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
HARIOMPIPE,Metals - Pipe & Tube,SmallCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
HBLENGINE,Railways,SmallCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
HDFCAMC,Financials - AMC,MidCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
HEG,Metals - Foundry Support,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
HEMIPROP,Real Estate,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
HERANBA,Agrochem - Pesticides,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
HERITGFOOD,Consumption - Dairy,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
HEROMOTOCO,Auto - 2W,LargeCap,Other,Other,Other,Breakout,Other,Breakout,Other,Other,Other,Other,2
HESTERBIO,Healthcare - Animals,SmallCap,Breakout,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,2
HEUBACHIND,Chemicals - Dyes,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
HGS,Tech - BPO,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
HINDCOPPER,Metals - Copper,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
HINDOILEXP,Oil and Gas - Upstream,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
HINDWAREAP,Infra - Ceramics/Granites,SmallCap,Other,Other,Other,Other,Breakout,Other,Breakout,Breakout,Other,Other,3
HINDZINC,Metals - Non Ferrous,MidCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
HIRECT,Electronics - Automation,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
HITECH,Metals - Pipe & Tube,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,2
HLEGLAS,Industial Products - Glasslined Equipments,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
HUHTAMAKI,Packaging - Misc,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
HYUNDAI,Auto - Cars/UVs,LargeCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
IGARASHI,Auto - HVAC/Emotors,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
IKIO,Consumption - Electronics,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
IMFA,Metals - Ferro Alloys,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,2
INDIACEM,Infra - Cement,SmallCap,Other,Breakout,Other,Other,Other,Breakout,Other,Other,Other,Other,2
INDIAMART,IT - Platform - Catalogue Retail,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
INDNIPPON,Auto - Electricals & Batteries,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,2
INDOTHAI,Financials - Broking,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
IOLCP,Healthcare - API/Drug,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Breakout,Other,2
IPCALAB,Healthcare - Formulations - Generic,MidCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
IPL,Agrochem - Pesticides,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
ITCHOTELS,Leisure - Hotels,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
ITDC,Leisure - Hotels,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
IXIGO,IT - Platform - Tour & Travel,SmallCap,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,2
JAGSNPHARM,Healthcare - Formulations,SmallCap,Breakout,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,3
JAICORPLTD,Industrial Products - Plastic,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Other,Other,2
JAMNAAUTO,Auto - Suspension & Axles,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
JBMA,Auto - Body,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,2
JMFINANCIL,Financials - Diversified,SmallCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
JTEKTINDIA,Auto - Drivetrain,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,2
JUBLCPL,Chemicals - Specialty - FMCG,SmallCap,Breakout,Breakout,Other,Breakout,Breakout,Breakout,Breakout,Other,Other,Other,6
KAJARIACER,Infra - Ceramics/Granites,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
KALAMANDIR,Textiles - Fashion Retail,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
KAYNES,Electronics - EMS,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
KELLTONTEC,IT - Software/Consulting,SmallCap,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,2
KINGFA,Industrial Products - Plastic,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
KIOCL,Metals - Iron & Steel,SmallCap,Other,Breakout,Breakout,Other,Other,Breakout,Other,Other,Other,Other,3
KIRIINDUS,Chemicals - Dyes,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
KMEW,Engineering - Dredging,SmallCap,Breakout,Other,Other,Other,Other,Breakout,Other,Other,Breakout,Breakout,4
KPIL,Infra - Heavy Engineering,SmallCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
KRBL,Agri - Rice,SmallCap,Other,Other,Other,Breakout,Breakout,Other,Other,Other,Other,Other,2
KROSS,Auto - Suspension & Axles,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
LANDMARK,Auto - Misc,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,2
LAOPALA,Consumption - Homeware,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
LAURUSLABS,Healthcare - API/Drug,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
LAXMIDENTL,Healthcare - Equipments,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
LEMONTREE,Leisure - Hotels,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Other,Other,2
LGBBROSLTD,Auto - Wheels ,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
LUMAXIND,Auto - Lighting & Electronics,SmallCap,Breakout,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,2
LUMAXTECH,Auto - Lighting & Electronics,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
LXCHEM,Chemicals - Specialty - Pharma,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Breakout,Other,2
M&M,Auto - Cars/UVs,LargeCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
MAHLOG,Transport - Logistics,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
MANALIPETC,Chemicals - Petro,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
MANGCHEFER,Agrochem - Fertilizers,SmallCap,Other,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,2
MANGLMCEM,Infra - Cement,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
MANKIND,Healthcare - Formulations - OTC,MidCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
MARUTI,Auto - Cars/UVs,LargeCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
MASFIN,Financials - NBFC,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
MASTERTR,Financials - Broking,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
MAXESTATES,Real Estate,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
MAYURUNIQ,Leather Products,SmallCap,Breakout,Other,Breakdown,Other,Other,Other,Other,Other,Other,Other,1
